Country,Green,Blue,Grey,Green,Blue,Grey,Blue,Grey,Green,Blue,Grey,Green,Blue,Grey,Blue,Grey
Afghanistan,1219.8,895.1,200.9,63.9,12.8,4.6,3.6,58.5,159.5,900.7,25.6,9.5,2.0,0.1,0.1,2.0
Albania,984.3,189.6,123.1,164.1,23.1,12.9,4.7,63.6,282.9,36.8,1.4,30.4,3.6,0.4,2.3,43.1
Algeria,13433.4,1297.8,1535.5,1072.4,219.7,67.8,33.7,375.7,188.5,54.1,8.4,47.4,4.8,0.9,33.7,387.1
American Samoa,0.5,0.1,0.0,1.6,0.1,0.0,0.0,0.1,3.3,1.8,0.6,0.0,0.0,0.0,0.0,0.0
Andorra,85.2,32.6,11.1,59.5,11.0,7.2,2.7,20.2,30.5,8.2,3.1,4.6,0.3,0.1,0.1,0.6
Angola,1084.9,142.7,183.7,618.8,61.4,29.6,7.2,76.0,409.5,0.3,1.9,2.8,0.3,0.0,7.3,102.2
Anguilla,2.2,0.6,0.1,0.0,0.0,0.0,0.2,1.4,3.8,1.7,0.5,1.8,0.1,0.0,0.0,0.1
Antigua and Barbuda,30.7,7.3,3.2,14.3,1.3,0.9,1.3,12.8,37.6,4.3,2.3,5.0,0.6,0.1,0.3,3.5
Argentina,3764.0,146.7,305.3,521.1,46.3,22.6,73.2,788.4,88568.6,1333.4,2437.9,4738.6,495.6,52.5,33.9,384.1
Armenia,862.2,109.9,140.6,158.7,23.6,7.9,4.3,71.5,33.1,12.8,3.5,10.8,1.5,0.4,2.1,34.7
Australia,5972.0,852.7,889.6,480.3,81.8,31.2,246.8,2976.4,42862.1,14444.2,3529.2,24756.8,1746.4,228.5,95.6,1059.3
Austria,6711.9,1578.3,884.5,1192.0,202.5,149.2,244.1,2436.7,2743.4,603.2,389.2,1605.4,256.9,156.2,123.4,939.9
Azerbaijan,2243.1,244.5,97.2,79.5,15.0,5.4,9.9,169.1,489.7,927.5,97.0,110.5,9.7,1.1,38.6,544.9
Bahamas,226.4,38.9,19.0,130.4,12.5,9.5,10.0,102.5,51.6,3.3,2.6,0.3,0.0,0.0,1.7,17.0
Bahrain,801.3,400.0,157.6,219.3,36.1,13.0,10.9,130.8,341.2,173.7,62.6,6.3,2.9,0.5,4.4,54.1
Bangladesh,12760.3,3193.2,1543.9,151.7,28.8,10.6,26.5,408.0,6827.3,12.0,1233.2,225.3,31.5,0.7,12.8,259.5
Barbados,172.0,33.7,29.1,59.8,6.9,2.9,2.8,25.3,99.5,2.5,2.0,1.5,0.3,0.1,0.8,11.1
Belarus,3773.1,519.1,224.1,351.1,28.8,21.5,83.7,1545.9,563.0,104.6,73.6,170.3,20.7,16.4,27.4,428.8
Belgium,33890.2,4693.8,2951.4,4664.4,712.1,320.1,590.5,5874.8,14697.8,2618.0,1488.5,5398.1,667.2,500.0,456.0,4085.5
Belize,54.0,6.2,7.2,15.6,6.7,1.2,1.2,13.1,440.2,17.6,53.4,4.4,0.3,1.1,0.8,12.3
Benin,679.4,153.7,104.0,19.6,5.2,1.0,2.0,24.1,3331.0,1.7,7.1,7.0,0.4,0.0,0.2,3.1
Bermuda,187.9,10.2,8.9,19.5,2.0,1.0,5.5,63.5,17.0,3.2,2.2,3.0,0.2,0.1,0.5,5.8
