country,population,Green,Blue,Grey,Green,Blue,Grey,Blue,Grey,Blue,Grey,blue,grey
Albania,3085,602.2,88.9,36.5,492.7,77.4,39.5,2.6,48.2,1.3,17.0,14.9,134.2
Algeria,30767,634.6,88.8,9.6,700.6,50.6,59.7,0.7,6.4,0.6,6.1,4.3,27.7
Angola,14610,798.4,13.6,2.4,108.4,14.6,13.1,0.1,0.9,0.1,1.2,0.5,4.9
Antigua and Barbuda,77.4,391.2,1.0,0.0,828.0,87.8,74.8,0.5,9.2,13.1,123.7,3.9,34.9
Argentina,37060,1288.3,87.9,45.4,35.0,3.9,3.0,3.1,33.9,1.7,17.7,13.2,73.5
Armenia,3090,516.3,105.6,26.7,450.2,40.7,41.0,1.6,19.4,1.1,17.8,27.3,191.0
Australia,19320,1716.9,172.0,80.9,136.3,12.0,10.1,4.6,10.4,9.4,104.2,18.2,39.5
Austria,8057,396.3,2.0,52.4,738.1,64.2,81.0,5.1,8.0,18.3,190.5,9.2,32.5
Azerbaijan,8155,510.0,160.2,17.5,310.6,25.1,9.1,10.1,132.1,0.9,14.2,6.4,48.6
Bahamas,306,200.8,0.0,0.0,1348.9,140.1,136.7,0.0,0.0,27.3,279.2,0.0,0.0
Bangladesh,141967,477.9,54.4,72.9,98.1,22.4,11.2,0.1,1.4,0.1,1.8,2.8,25.5
Barbados,253,553.0,1.4,24.9,941.3,108.3,120.5,6.6,123.8,9.0,82.4,11.9,106.7
Belarus,10030,1091.2,7.5,199.3,215.8,37.4,10.8,5.3,4.6,6.8,113.1,6.5,19.5
Belgium,10401,34.5,0.1,10.0,1181.2,92.6,97.3,14.4,112.1,27.9,283.4,7.1,26.9
Belize,255,1154.7,16.3,246.6,120.9,34.2,25.7,19.1,306.5,4.3,45.3,3.9,32.8
Benin,6820,1020.2,1.0,5.2,67.3,20.0,8.6,0.2,3.9,0.3,3.3,0.6,5.4
Bermuda,63.0,6.8,2.0,4.8,1706.9,150.1,128.5,0.0,0.0,80.1,916.2,0.0,0.0
Bolivia,8409,3063.9,44.8,7.9,295.9,14.8,11.6,0.5,5.8,0.5,4.6,2.1,15.4
Bosnia and Herzegovina,3632,659.0,4.7,33.2,408.2,24.3,63.0,0.0,0.0,4.5,59.3,0.0,0.0
Botswana,1726,1202.0,8.5,0.0,561.7,179.4,34.3,0.7,13.7,0.4,4.6,4.6,41.2
Brazil,175308,1644.8,48.5,55.4,159.6,11.8,6.1,2.4,33.5,0.8,8.7,6.9,48.6
Brunei Darussalam,337,25.5,0.0,0.0,2796.4,327.3,169.2,0.0,0.0,6.8,95.3,0.0,0.0
Bulgaria,7988,1478.9,7.5,124.7,330.3,45.2,19.7,13.7,139.6,2.3,32.5,13.8,88.5
Burkina Faso,11950,1600.1,15.8,20.2,37.4,14.4,4.0,0.0,0.5,0.1,1.7,0.9,7.8
Burundi,6652,677.3,14.1,0.8,13.2,1.2,1.3,0.1,2.4,0.1,0.7,0.7,6.6
Cambodia,12834,955.7,53.6,2.1,47.7,8.0,4.2,0.0,0.2,0.2,1.4,0.5,4.2
Cameroon,16081,1144.8,9.2,8.5,37.5,21.0,6.8,0.2,3.3,0.2,2.2,1.1,10.1
Canada,30889,1345.1,24.9,172.4,254.9,60.5,30.8,25.7,140.8,13.3,122.8,29.1,112.9
Cape Verde,443,599.3,22.5,0.0,495.1,63.8,46.6,0.0,0.8,1.2,11.2,0.4,3.3
Central African Republic,3772,1147.8,18.8,0.0,14.4,2.9,3.0,0.0,0.5,0.0,0.2,0.5,4.8
Chad,8614,1425.0,19.9,0.0,7.7,2.6,1.4,0.0,0.0,0.1,0.5,0.5,4.2
Chile,15492,451.5,135.6,122.3,327.3,18.0,16.9,6.0,20.1,2.1,21.6,9.2,24.1
China,1277208,614.3,98.5,170.0,86.2,10.9,5.3,2.5,31.7,0.3,4.2,5.3,41.9
Colombia,40094,894.5,34.1,30.5,227.0,17.8,19.9,0.4,7.3,0.8,8.1,13.4,121.0
Comoros,710,1107.4,2.2,0.0,102.1,84.6,18.2,0.0,0.6,0.3,2.9,0.7,6.1
"Congo, Dem Republic",52053,529.8,1.7,0.3,10.2,3.4,2.6,0.0,0.4,0.0,0.1,0.4,3.3
"Congo, Republic",3096,506.6,6.5,1.0,191.3,47.7,21.4,0.0,0.3,0.1,0.9,1.0,9.3
Costa Rica,3963,687.7,37.4,43.1,348.5,47.1,42.6,3.1,57.0,2.7,24.3,19.9,176.9
